  just opened iu,energy_spread_in_name= 11 energy_spread.in
  about to do namelist read  u= 11
 seed=    43401053
 i_sqrts=         500
 n_single_file=           1
 single_file_name=
 ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.dat                                              
  
  ifile,grid_file= 1 ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.grd                                              
  ifile,hbook_file= 1 ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.hbk                                              
  
  ifile= 1  about to open ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.dat                                              
 ifile,nrec,ndiv= 1 542852 100
  ifile= 1  about to again open ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.dat                                              
 i,egev(:,i= 43800 248.327606 252.506943
 i,egev(:,i= 43900 253.537033 252.563965
 i,egev(:,i= 44000 247.082458 252.474518
 i,egev(:,i= 44100 241.995163 252.617508
 i,egev(:,i= 44200 252.056076 252.547867
 i,egev(:,i= 44300 252.454987 252.603180
 i,egev(:,i= 44400 253.211624 252.350174
 i,egev(:,i= 44500 252.736679 252.526047
 i,egev(:,i= 44600 252.171432 252.570312
 i,egev(:,i= 44700 250.981552 252.381271
 i,egev(:,i= 44800 251.631241 252.600739
 i,egev(:,i= 44900 252.578903 252.377396
 i,egev(:,i= 45000 252.944672 252.623840
 i,egev(:,i= 45100 252.930573 252.641800
 i,egev(:,i= 45200 234.955246 252.502670
 i,egev(:,i= 45300 252.673141 250.389160
 i,egev(:,i= 45400 252.429138 252.575180
 i,egev(:,i= 45500 252.714111 252.577805
 i,egev(:,i= 45600 252.245895 244.151108
 i,egev(:,i= 45700 252.847595 252.664948
 i,egev(:,i= 45800 248.499207 252.633438
 i,egev(:,i= 45900 241.616318 213.812134
 i,egev(:,i= 46000 252.267807 251.978790
 i,egev(:,i= 46100 253.208649 252.541046
 i,egev(:,i= 46200 251.896988 250.197174
 i,egev(:,i= 46300 252.819901 252.668015
 i,egev(:,i= 46400 252.250122 252.544617
 i,egev(:,i= 46500 250.921234 252.408112
 i,egev(:,i= 46600 235.240707 252.487411
 i,egev(:,i= 46700 252.684052 242.766663
 i,egev(:,i= 46800 248.382111 252.774628
 i,egev(:,i= 46900 252.500244 252.756943
 i,egev(:,i= 47000 252.648819 252.657852
 i,egev(:,i= 47100 252.567520 252.806366
 i,egev(:,i= 47200 253.144913 252.720856
 i,egev(:,i= 47300 252.586365 252.462540
 i,egev(:,i= 47400 249.364700 252.569473
 i,egev(:,i= 47500 253.695023 252.253159
 i,egev(:,i= 47600 251.143600 252.391678
 i,egev(:,i= 47700 250.643265 252.508087
 i,egev(:,i= 47800 246.986511 252.472397
 i,egev(:,i= 47900 251.149338 252.383911
